Category,Message
ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
ham,No. On the way home. So if not for the long dry spell the season would have been over
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705
ham,I pocked you up there before
ham,"Ya, told..she was asking wats matter?"
ham,"Are you sure you don't mean ""get here, we made you hold all the weed"""
ham,YO YO YO BYATCH WHASSUP?
ham,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday."
ham,Also andros ice etc etc
ham,And I don't plan on staying the night but I prolly won't be back til late
ham,Sure! I am driving but will reach my destination soon.
ham,Lol for real. She told my dad I have cancer
ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
ham,I think i've fixed it can you send a test message?
ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
ham,2marrow only. Wed at  &lt;#&gt;  to 2 aha.
ham,So u wan 2 come for our dinner tonight a not?
ham,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?"
ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*
ham,That's my honeymoon outfit. :)
ham,Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.
ham,Hasn't that been the pattern recently crap weekends?
ham,"Could you not read me, my Love ? I answered you"
spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP
ham,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.
ham,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?
ham,"Jay wants to work out first, how's 4 sound?"
ham,I just saw ron burgundy captaining a party boat so yeah
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
ham,Howz that persons story
ham,Then u go back urself lor...
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
ham,Ya:)going for restaurant..
ham,Are you available for soiree on June 3rd?
ham,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.
ham,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
spam,ringtoneking 84484
spam,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529
ham,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to ""DRINK"". . . But don't ""DRIVE """
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
ham,ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX
ham,:-) :-)
ham,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
ham,Do you think i can move  &lt;#&gt;  in a week
ham,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota
ham,Ok. I only ask abt e movie. U wan ktv oso?
ham,Just finished eating. Got u a plate. NOT leftovers this time.
spam,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,"CHA QUITEAMUZING THATSCOOL BABE,PROBPOP IN & CU SATTHEN HUNNY 4BREKKIE! LOVE JEN XXX. PSXTRA LRG PORTIONS 4 ME PLEASE "
spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com
ham,i see. When we finish we have loads of loans to pay
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
ham,Hey happy birthday...
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
ham,Have you got Xmas radio times. If not i will get it now
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
ham,Hi da:)how is the todays class?
ham,Babe ? I lost you ... Will you try rebooting ?
ham,Please attend the phone:)
ham,I am 6 ft. We will be a good combination!
spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins."
ham,You still at grand prix?
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
ham,"Just wondering, the others just took off"
ham,I hope you know I'm still mad at you.
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
ham,Wat time r ü going to xin's hostel?
ham,Im just wondering what your doing right now?
ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u
ham,"I can probably come by, everybody's done around  &lt;#&gt;  right?"
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
ham,Tmr then ü brin lar... Aiya later i come n c lar... Mayb ü neva set properly ü got da help sheet wif ü...
ham,Hey what are you doing. Y no reply pa..
ham,I.ll get there tomorrow and send it to you
spam,88800 and 89034 are premium phone services call 08718711108
spam,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub
ham,Carry on not disturbing both of you
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
ham,I'm leaving my house now...
ham,Poor girl can't go one day lmao
ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*
ham,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u
spam,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
ham,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss."
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da"
ham,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
ham,Are u awake? Is there snow there?
ham,Did you show him and wot did he say or could u not c him 4 dust?
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
ham,What you need. You have a person to give na.
ham,"Received, understood n acted upon!"
ham,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
spam,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL
spam,FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
ham,Thought praps you meant another one. Goodo! I'll look tomorrow
ham,You tell what happen dont behave like this to me. Ok no need to say
ham,I can't describe how lucky you are that I'm actually awake by noon
ham,S:-)if we have one good partnership going we will take lead:)
ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
spam,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN
ham,Please sen :)my kind advice :-)please come here and try:-)
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800
ham,On the way to office da..
ham,When u wana see it then
ham,Wot is u up 2 then bitch?
ham,"Alright, see you in a bit"
ham,Ok
ham,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen"
ham,Yeah my usual guy's out of town but there're definitely people around I know
spam,INTERFLORA - It's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
ham,But i haf enuff space got like 4 mb...
ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx
ham,"That's cool, I'll come by like  &lt;#&gt; ish"
ham,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon..."
ham,Why tired what special there you had
ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower
ham,Bring tat cd don forget
ham,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*"
ham,Teach me apps da. When you come to college.
spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123
ham,I donno its in your genes or something
ham,Oooh bed ridden ey? What are YOU thinking of?
ham,Apo all other are mokka players only
ham,Think + da. You wil do.
ham,";-( oh well, c u later"
ham,LOL that would be awesome payback.
ham,What's a feathery bowa? Is that something guys have that I don't know about?
ham,Dude got a haircut. Now its breezy up there
ham,Man this bus is so so so slow. I think you're gonna get there before me
ham,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?
ham,"2 celebrate my bday, y else?"
spam,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp
ham,10 min later k...
ham,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola"
ham,"Yeah, don't go to bed, I'll be back before midnight"
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
ham,Ü takin linear algebra today?
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
ham,No..its ful of song lyrics..
ham,K.k:)advance happy pongal.
spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,Then get some cash together and I'll text jason
ham,K..give back my thanks.
ham,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?"
ham,Hows the champ just leaving glasgow!
ham,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night"
ham,"Probably not, still going over some stuff here"
ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
ham,I wont do anything de.
spam,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com
ham,I uploaded mine to Facebook
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
ham,Wat's my dear doing? Sleeping ah?
ham,What???? Hello wats talks email address?
ham,Yes watching footie but worried we're going to blow it - Phil Neville?
ham,"Its ok, called mom instead have fun"
ham,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Its the least a unique person like u deserve. Sleep tight or morning
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
ham,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...
ham,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...
ham,Good morning princess! Happy New Year!
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
ham,"Yup. Anything lor, if u dun wan it's ok..."
ham,I'm in class. Did you get my text.
ham,"Just sent again. Do you scream and moan in bed, princess?"
ham,Just sleeping..and surfing
ham,Ok. I asked for money how far
ham,Ok... C ya...
ham,Ok lor...
ham,I thank you so much for all you do with selflessness. I love you plenty.
ham,"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx"
spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?
spam,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype
ham,I am not sure about night menu. . . I know only about noon menu
ham,I'm really sorry I lit your hair on fire
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
ham,I've reached already.
ham,Haha okay... Today weekend leh...
ham,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.
ham,I've reached home finally...
ham,Sry da..jst nw only i came to home..
ham,"I‘ve got some salt, you can rub it in my open wounds if you like!"
ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?
ham,"fyi I'm at usf now, swing by the room whenever"
ham,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-)
ham,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.
ham,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
ham,Blank is Blank. But wat is blank? Lol
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
spam,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.
ham,How long does applebees fucking take
ham,Good words.... But words may leave u in dismay many times.
ham,Then u going ikea str aft dat?
